"","Mosaic","Custom_seg","Prob"
"1","A06","2",0.386904761904762
"2","K39","2",0.379032258064516
"3","A05","2",0.35
"4","J35","3",0.346534653465347
"5","L43","3",0.328633405639913
"6","J36","3",0.324376199616123
"7","G25","2",0.311284046692607
"8","C11","2",0.310258548790659
"9","Q64","3",0.307751937984496
"10","I30","3",0.304659498207885
"11","E19","2",0.298769771528998
"12","C12","2",0.296296296296296
"13","S70","3",0.296296296296296
"14","N46","3",0.292682926829268
"15","E21","3",0.291632818846466
"16","A04","2",0.290969899665552
"17","J34","3",0.288330716902145
"18","K38","2",0.287581699346405
"19","R67","5",0.286821705426357
"20","I31","3",0.286637931034483
"21","B07","2",0.285714285714286
"22","A02","2",0.285714285714286
"23","C13","2",0.285568065506653
"24","Q65","3",0.285
"25","G24","2",0.28428927680798
"26","H26","2",0.284072249589491
"27","L41","2",0.282857142857143
"28","Q63","3",0.282157676348548
"29","N49","5",0.281481481481481
"30","A01","2",0.280346820809249
"31","B10","2",0.279538904899135
"32","L42","3",0.277037037037037
"33","D17","2",0.262548262548263
"34","D18","2",0.262180974477958
"35","P61","1",0.246153846153846
"36","R66","5",0.237654320987654
"37","O55","5",0.236
"38","O52","5",0.229885057471264
"39","M44","5",0.227383863080685
"40","N47","5",0.225490196078431
"41","P60","1",0.224489795918367
"42","P57","1",0.222929936305732
"43","H29","5",0.222857142857143
"44","P58","6",0.222222222222222
"45","S68","5",0.221932114882507
"46","S69","5",0.220779220779221
"47","S71","5",0.218579234972678
"48","I33","1",0.211155378486056
"49","F23","5",0.21037037037037
"50","O51","5",0.209341117597998
"51","O54","1",0.201013513513514
"52","O50","1",0.198979591836735
"53","Q62","4",0.193929173693086
"54","D16","4",0.190954773869347
"55","H27","1",0.181467181467181
"56","O53","1",0.181286549707602
"57","P59","1",0.178343949044586
"58","K37","1",0.176638176638177
"59","B09","4",0.172
"60","H28","1",0.166666666666667
"61","I32","4",0.161572052401747
"62","E20","4",0.158423493044822
"63","C14","4",0.155210643015521
"64","P56","1",0.153256704980843
"65","N48","1",0.153039832285115
"66","A03","4",0.151724137931034
"67","F22","4",0.136831275720165
"68","D15","4",0.124820659971306
"69","M45","6",0.110764430577223
"70","B08","6",0.10738255033557
"71","K40","6",0.0988700564971751
